Group,shap,region
AD,0.01646628897300849,hippocampus
AD,-0.0032012441165004033,hippocampus
AD,0.003948344020736476,hippocampus
AD,0.03245718814874279,hippocampus
AD,0.0506541818040755,hippocampus
AD,0.02628676662525529,hippocampus
AD,0.06953884984495876,hippocampus
AD,0.03785877272353435,hippocampus
AD,-0.013565350098112695,hippocampus
AD,0.05732516458931605,hippocampus
AD,0.014529403557414887,hippocampus
AD,0.019551025931779487,hippocampus
AD,0.010080069644719697,hippocampus
AD,0.04705207183476891,hippocampus
AD,0.03529424842965825,hippocampus
AD,0.04552964784434694,hippocampus
AD,0.02345302064213782,hippocampus
AD,0.021998692299032584,hippocampus
AD,0.053370413424277584,hippocampus
AD,-0.0026276840861410716,hippocampus
AD,0.029255938609605882,hippocampus
AD,0.03098063065474419,hippocampus
AD,0.015847102784985446,hippocampus
AD,0.019709732434386656,hippocampus
AD,0.010091737786966967,hippocampus
AD,-0.0006969985452803156,hippocampus
AD,0.020302969534393176,hippocampus
AD,0.00426781340287543,hippocampus
AD,0.027552356293162356,hippocampus
AD,0.018096248722584238,hippocampus
AD,0.051721987856321414,hippocampus
AD,0.02745328394991753,hippocampus
AD,-0.012636848048839898,hippocampus
AD,0.06740801152348329,hippocampus
AD,0.025362464215869986,hippocampus
AD,0.023606349736251392,hippocampus
AD,0.04050955440780283,hippocampus
AD,0.024884353654280704,hippocampus
AD,0.03465959886748716,hippocampus
AD,0.020282493432935554,hippocampus
AD,0.0294620668680448,hippocampus
AD,0.041214690457788375,hippocampus
AD,0.010254413424769088,hippocampus
AD,0.008494993277752516,hippocampus
AD,0.019135584954812546,hippocampus
AD,0.02292173149576366,hippocampus
AD,0.03584180535785255,hippocampus
AD,0.03412980996925781,hippocampus
AD,0.04810979172844483,hippocampus
AD,0.010677323289744623,hippocampus
AD,0.0186437329280453,hippocampus
AD,0.021443145640109008,hippocampus
AD,0.02221544172670419,hippocampus
AD,0.0032230587193824213,hippocampus
AD,0.02009155857030321,hippocampus
AD,0.015363540927929558,hippocampus
AD,0.005571644457542629,hippocampus
AD,0.028767872682431347,hippocampus
AD,0.03273343012792656,hippocampus
AD,-0.0023073940267897036,hippocampus
AD,0.023576334190548325,hippocampus
AD,0.07269488896824111,hippocampus
AD,0.0038449053658117767,hippocampus
AD,0.037936549660215785,hippocampus
AD,0.04085188704802048,hippocampus
AD,0.023787259318407576,hippocampus
AD,0.023577595415758056,hippocampus
AD,0.004034720236349841,hippocampus
AD,0.019188088091918788,hippocampus
AD,0.08056372831123085,hippocampus
AD,0.00908230995471742,hippocampus
AD,0.02860321265274204,hippocampus
AD,0.027247434037543986,hippocampus
AD,-0.004170139696392185,hippocampus
AD,0.019507937770932945,hippocampus
AD,0.00034741400503718583,hippocampus
AD,0.03235238917644954,hippocampus
AD,0.03494324329849008,hippocampus
AD,0.0223412182607082,hippocampus
AD,0.005552459306352435,hippocampus
AD,0.0145106539871247,hippocampus
AD,0.029072792482079977,hippocampus
AD,-0.00104227392513987,hippocampus
AD,0.01947655468332133,hippocampus
AD,0.0010156854335482122,hippocampus
AD,-0.012048511347975143,hippocampus
AD,0.04497076822441786,hippocampus
AD,0.04014843860176109,hippocampus
AD,0.03774080879516519,hippocampus
AD,0.023620158493060185,hippocampus
AD,0.03819537438741789,hippocampus
AD,0.0434689681574736,hippocampus
AD,0.008665168127941363,hippocampus
AD,0.03907680349165714,hippocampus
AD,0.052238849949695874,hippocampus
AD,0.03746194721977754,hippocampus
AD,0.013566041602071251,hippocampus
AD,-0.005622529713565913,hippocampus
AD,0.0036623193085738087,hippocampus
AD,0.001677714185321995,hippocampus
AD,0.017206977505339224,hippocampus
AD,0.019869649544039275,hippocampus
AD,-0.007102284228841564,hippocampus
AD,-0.013369780631521822,hippocampus
AD,-0.010153448988916475,hippocampus
AD,0.0237415632362316,hippocampus
AD,0.05680040909106161,hippocampus
AD,-0.013395835331141987,hippocampus
AD,0.06856084493538642,hippocampus
AD,0.007489491080980667,hippocampus
AD,0.04072633178199944,hippocampus
AD,0.010537801315176407,hippocampus
AD,-0.0034827174895457466,hippocampus
AD,0.04936177992336,hippocampus
AD,0.020506276513304483,hippocampus
AD,0.040400100781607266,hippocampus
AD,-0.016480658071801206,hippocampus
AD,0.012909277580951325,hippocampus
AD,0.04196440282183624,hippocampus
AD,0.01598630286140718,hippocampus
AD,0.02573518763517264,hippocampus
AD,0.0011815409241728073,hippocampus
AD,0.012793540355761777,hippocampus
AD,0.031184494100681536,hippocampus
AD,0.013292220546596456,hippocampus
AD,0.04621442805043749,hippocampus
AD,0.013098849957486988,hippocampus
AD,0.029949639296383113,hippocampus
AD,0.017006416023646012,hippocampus
AD,0.041200178130247636,hippocampus
AD,0.022530119426106547,hippocampus
AD,-0.004850003408043518,hippocampus
AD,0.04483067350320871,hippocampus
AD,0.008608273209057854,hippocampus
AD,0.02709179519857029,hippocampus
AD,-0.004834290395128278,hippocampus
AD,0.026494582045315608,hippocampus
AD,0.017554063094800308,hippocampus
AD,0.01389000509535764,hippocampus
AD,0.022335039152060077,hippocampus
AD,0.017621349777811275,hippocampus
AD,0.025755992014066507,hippocampus
AD,0.052643513109558046,hippocampus
AD,0.037413460208468294,hippocampus
AD,0.0028468335503930987,hippocampus
AD,0.051134440929124676,hippocampus
AD,0.007159294477491828,hippocampus
AD,0.03262783309641045,hippocampus
AD,0.011358020164325508,hippocampus
AD,0.03275669092012917,hippocampus
AD,0.020754332690162233,hippocampus
AD,-0.020795313833989644,hippocampus
AD,0.014753006642796267,hippocampus
