             NC                         MCI                         DE                         ADD                        nADD                        ADD|DE                       nADD|DE                      macro-3ways                macro-4ways
-----------  -------------------------  --------------------------  -------------------------  -------------------------  --------------------------  ---------------------------  ---------------------------  -------------------------  -------------------------
Accuracy     0.677±0.010 [0.665-0.690]  0.811±0.038 [0.765-0.858]   0.710±0.006 [0.703-0.717]  0.734±0.009 [0.723-0.745]  0.965±0.002 [0.962-0.968]   0.880±0.015 [0.862-0.898]    0.880±0.015 [0.862-0.898]    0.599±0.022 [0.571-0.627]  0.594±0.021 [0.567-0.620]
F-1          0.769±0.013 [0.753-0.785]  0.097±0.038 [0.049-0.144]   0.253±0.045 [0.197-0.308]  0.246±0.042 [0.195-0.298]  0.016±0.032 [-0.024-0.056]  0.936±0.008 [0.926-0.946]    0.015±0.031 [-0.023-0.054]   0.373±0.019 [0.349-0.396]  0.282±0.022 [0.255-0.309]
Sensitivity  0.846±0.039 [0.798-0.894]  0.267±0.141 [0.091-0.442]   0.154±0.038 [0.107-0.202]  0.152±0.036 [0.108-0.197]  0.009±0.018 [-0.013-0.032]  0.979±0.016 [0.960-0.999]    0.009±0.018 [-0.013-0.032]   0.422±0.036 [0.378-0.466]  0.318±0.031 [0.280-0.357]
Specificity  0.383±0.050 [0.321-0.445]  0.834±0.044 [0.779-0.889]   0.974±0.023 [0.946-1.003]  0.971±0.022 [0.943-0.999]  0.998±0.002 [0.995-1.001]   0.009±0.018 [-0.013-0.032]   0.979±0.016 [0.960-0.999]    0.730±0.006 [0.723-0.738]  0.796±0.005 [0.791-0.802]
MCC          0.260±0.016 [0.240-0.281]  0.049±0.053 [-0.017-0.115]  0.248±0.019 [0.225-0.271]  0.234±0.028 [0.198-0.269]  0.018±0.048 [-0.041-0.077]  -0.019±0.049 [-0.080-0.042]  -0.019±0.049 [-0.080-0.042]  0.186±0.023 [0.157-0.214]  0.140±0.030 [0.103-0.178]
