             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.727±0.080 [0.628-0.827]  0.631±0.081 [0.531-0.731]  0.884±0.004 [0.879-0.889]  0.859±0.012 [0.843-0.874]  0.938±0.017 [0.918-0.959]  0.768±0.061 [0.692-0.844]  0.768±0.061 [0.692-0.844]  0.621±0.081 [0.521-0.721]  0.578±0.086 [0.470-0.685]
F-1          0.726±0.096 [0.607-0.845]  0.140±0.036 [0.095-0.185]  0.788±0.011 [0.774-0.801]  0.699±0.030 [0.661-0.737]  0.228±0.051 [0.165-0.291]  0.859±0.042 [0.806-0.911]  0.312±0.039 [0.264-0.360]  0.551±0.043 [0.498-0.605]  0.448±0.044 [0.393-0.503]
Sensitivity  0.591±0.132 [0.427-0.755]  0.704±0.062 [0.627-0.781]  0.670±0.024 [0.639-0.700]  0.567±0.034 [0.524-0.610]  0.264±0.053 [0.198-0.329]  0.798±0.078 [0.701-0.895]  0.509±0.127 [0.352-0.666]  0.655±0.045 [0.599-0.711]  0.531±0.041 [0.480-0.582]
Specificity  0.966±0.012 [0.952-0.980]  0.628±0.084 [0.523-0.732]  0.986±0.009 [0.975-0.997]  0.978±0.005 [0.971-0.985]  0.961±0.018 [0.939-0.984]  0.509±0.127 [0.352-0.666]  0.798±0.078 [0.701-0.895]  0.860±0.026 [0.827-0.893]  0.883±0.021 [0.857-0.910]
MCC          0.556±0.104 [0.427-0.686]  0.139±0.052 [0.074-0.204]  0.734±0.009 [0.722-0.745]  0.643±0.034 [0.601-0.686]  0.205±0.058 [0.133-0.278]  0.229±0.052 [0.164-0.293]  0.229±0.052 [0.164-0.293]  0.476±0.053 [0.411-0.542]  0.386±0.051 [0.322-0.450]
