             NC             MCI            DE             ADD            nADD           ADD|DE         nADD|DE        macro-3ways    macro-4ways
-----------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
Accuracy     0.702+/-0.006  0.630+/-0.006  0.819+/-0.003  0.842+/-0.005  0.945+/-0.004  0.801+/-0.016  0.801+/-0.016  0.575+/-0.005  0.559+/-0.006
F-1          0.706+/-0.007  0.334+/-0.017  0.579+/-0.008  0.546+/-0.009  0.316+/-0.072  0.871+/-0.011  0.560+/-0.044  0.540+/-0.006  0.475+/-0.021
Sensitivity  0.723+/-0.020  0.307+/-0.026  0.614+/-0.024  0.592+/-0.022  0.309+/-0.088  0.850+/-0.022  0.614+/-0.079  0.548+/-0.007  0.483+/-0.023
Specificity  0.680+/-0.021  0.770+/-0.018  0.871+/-0.009  0.890+/-0.009  0.973+/-0.005  0.614+/-0.079  0.850+/-0.022  0.774+/-0.003  0.828+/-0.003
MCC          0.404+/-0.012  0.082+/-0.010  0.466+/-0.009  0.453+/-0.010  0.288+/-0.072  0.437+/-0.054  0.437+/-0.054  0.317+/-0.008  0.307+/-0.023
