             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.734±0.021 [0.725-0.743]  0.600±0.047 [0.580-0.620]  0.706±0.039 [0.690-0.722]  0.728±0.047 [0.708-0.748]  0.762±0.018 [0.754-0.770]  0.688±0.048 [0.667-0.709]  0.688±0.048 [0.667-0.709]  0.520±0.029 [0.508-0.532]  0.412±0.026 [0.401-0.423]
F-1          0.398±0.055 [0.374-0.421]  0.341±0.077 [0.308-0.373]  0.686±0.037 [0.670-0.702]  0.583±0.036 [0.568-0.598]  0.177±0.067 [0.149-0.206]  0.754±0.028 [0.742-0.766]  0.568±0.101 [0.525-0.611]  0.475±0.030 [0.462-0.487]  0.375±0.034 [0.360-0.389]
Sensitivity  0.360±0.091 [0.321-0.399]  0.432±0.146 [0.370-0.494]  0.644±0.067 [0.615-0.673]  0.752±0.053 [0.729-0.775]  0.104±0.041 [0.087-0.121]  0.952±0.030 [0.939-0.965]  0.424±0.106 [0.379-0.469]  0.479±0.029 [0.466-0.491]  0.412±0.026 [0.401-0.423]
Specificity  0.859±0.050 [0.837-0.880]  0.656±0.098 [0.614-0.698]  0.768±0.101 [0.725-0.811]  0.720±0.075 [0.688-0.752]  0.981±0.020 [0.973-0.990]  0.424±0.106 [0.379-0.469]  0.952±0.030 [0.939-0.965]  0.761±0.018 [0.753-0.769]  0.804±0.009 [0.800-0.808]
MCC          0.241±0.044 [0.223-0.259]  0.078±0.075 [0.046-0.110]  0.421±0.083 [0.386-0.456]  0.423±0.054 [0.400-0.446]  0.201±0.093 [0.161-0.240]  0.444±0.082 [0.409-0.479]  0.444±0.082 [0.409-0.479]  0.247±0.045 [0.227-0.266]  0.236±0.044 [0.217-0.254]
