             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.695±0.005 [0.693-0.697]  0.657±0.019 [0.649-0.665]  0.832±0.004 [0.831-0.834]  0.856±0.006 [0.854-0.859]  0.957±0.003 [0.956-0.959]  0.837±0.012 [0.832-0.842]  0.837±0.012 [0.832-0.842]  0.593±0.008 [0.589-0.596]  0.583±0.007 [0.580-0.586]
F-1          0.736±0.008 [0.733-0.739]  0.279±0.069 [0.250-0.309]  0.534±0.036 [0.519-0.549]  0.522±0.025 [0.512-0.533]  0.264±0.121 [0.212-0.315]  0.900±0.008 [0.897-0.904]  0.550±0.064 [0.523-0.577]  0.516±0.010 [0.512-0.521]  0.450±0.022 [0.441-0.460]
Sensitivity  0.860±0.043 [0.842-0.878]  0.232±0.091 [0.193-0.270]  0.478±0.068 [0.449-0.507]  0.492±0.054 [0.470-0.515]  0.195±0.102 [0.152-0.239]  0.929±0.026 [0.918-0.940]  0.489±0.101 [0.446-0.532]  0.523±0.007 [0.520-0.526]  0.445±0.027 [0.434-0.456]
Specificity  0.534±0.050 [0.513-0.555]  0.842±0.066 [0.814-0.869]  0.923±0.019 [0.915-0.931]  0.926±0.015 [0.919-0.932]  0.991±0.005 [0.989-0.993]  0.489±0.101 [0.446-0.532]  0.929±0.026 [0.918-0.940]  0.766±0.001 [0.766-0.767]  0.823±0.001 [0.823-0.824]
MCC          0.419±0.008 [0.415-0.422]  0.088±0.018 [0.080-0.095]  0.442±0.024 [0.432-0.453]  0.442±0.022 [0.432-0.451]  0.277±0.105 [0.232-0.321]  0.467±0.053 [0.444-0.489]  0.467±0.053 [0.444-0.489]  0.316±0.007 [0.313-0.319]  0.306±0.028 [0.294-0.318]
