             NC             MCI            DE             ADD            nADD           ADD|DE         nADD|DE        macro-3ways    macro-4ways
-----------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
Accuracy     0.864+/-0.010  0.698+/-0.012  0.802+/-0.010  0.848+/-0.010  0.790+/-0.000  0.728+/-0.047  0.728+/-0.047  0.682+/-0.015  0.600+/-0.006
F-1          0.786+/-0.013  0.459+/-0.022  0.754+/-0.016  0.671+/-0.031  0.382+/-0.050  0.755+/-0.043  0.693+/-0.054  0.666+/-0.015  0.575+/-0.011
Sensitivity  1.000+/-0.000  0.512+/-0.030  0.608+/-0.024  0.624+/-0.048  0.264+/-0.054  0.840+/-0.057  0.616+/-0.054  0.707+/-0.013  0.600+/-0.006
Specificity  0.819+/-0.014  0.760+/-0.012  0.996+/-0.008  0.923+/-0.005  0.965+/-0.018  0.616+/-0.054  0.840+/-0.057  0.858+/-0.006  0.867+/-0.002
MCC          0.728+/-0.016  0.255+/-0.029  0.656+/-0.014  0.577+/-0.033  0.348+/-0.007  0.469+/-0.096  0.469+/-0.096  0.546+/-0.018  0.477+/-0.007
