             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.785±0.014 [0.779-0.791]  0.798±0.056 [0.775-0.822]  0.796±0.011 [0.791-0.801]  0.808±0.008 [0.804-0.811]  0.956±0.006 [0.954-0.959]  0.833±0.030 [0.821-0.846]  0.833±0.030 [0.821-0.846]  0.690±0.039 [0.673-0.706]  0.674±0.034 [0.660-0.688]
F-1          0.831±0.015 [0.824-0.837]  0.084±0.019 [0.077-0.092]  0.592±0.046 [0.573-0.612]  0.576±0.036 [0.561-0.591]  0.093±0.064 [0.066-0.121]  0.905±0.020 [0.897-0.914]  0.271±0.029 [0.259-0.284]  0.503±0.014 [0.497-0.509]  0.396±0.021 [0.388-0.405]
Sensitivity  0.833±0.038 [0.816-0.849]  0.244±0.121 [0.193-0.296]  0.464±0.063 [0.437-0.491]  0.454±0.049 [0.433-0.475]  0.073±0.055 [0.050-0.096]  0.893±0.043 [0.875-0.912]  0.309±0.088 [0.272-0.347]  0.514±0.010 [0.510-0.518]  0.401±0.006 [0.398-0.404]
Specificity  0.702±0.035 [0.687-0.716]  0.822±0.064 [0.795-0.849]  0.954±0.015 [0.948-0.961]  0.952±0.013 [0.947-0.958]  0.987±0.007 [0.984-0.989]  0.309±0.088 [0.272-0.347]  0.893±0.043 [0.875-0.912]  0.826±0.006 [0.824-0.828]  0.866±0.004 [0.864-0.867]
MCC          0.537±0.021 [0.528-0.545]  0.032±0.026 [0.020-0.043]  0.510±0.028 [0.498-0.521]  0.497±0.025 [0.486-0.507]  0.085±0.067 [0.057-0.113]  0.188±0.027 [0.177-0.199]  0.188±0.027 [0.177-0.199]  0.359±0.006 [0.357-0.362]  0.287±0.016 [0.281-0.294]
