             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.833±0.023 [0.805-0.861]  0.741±0.028 [0.707-0.776]  0.890±0.003 [0.886-0.894]  0.865±0.010 [0.852-0.877]  0.947±0.008 [0.937-0.958]  0.780±0.041 [0.730-0.831]  0.780±0.041 [0.730-0.831]  0.732±0.026 [0.700-0.765]  0.693±0.025 [0.662-0.724]
F-1          0.854±0.023 [0.825-0.883]  0.156±0.019 [0.133-0.179]  0.798±0.008 [0.789-0.808]  0.714±0.030 [0.676-0.751]  0.232±0.089 [0.121-0.342]  0.868±0.029 [0.832-0.903]  0.301±0.076 [0.207-0.396]  0.603±0.014 [0.585-0.621]  0.489±0.020 [0.464-0.514]
Sensitivity  0.771±0.038 [0.724-0.818]  0.585±0.054 [0.518-0.653]  0.673±0.012 [0.659-0.688]  0.585±0.045 [0.529-0.642]  0.264±0.123 [0.111-0.417]  0.812±0.065 [0.732-0.893]  0.500±0.195 [0.258-0.742]  0.677±0.023 [0.649-0.705]  0.551±0.024 [0.521-0.582]
Specificity  0.940±0.009 [0.929-0.952]  0.748±0.029 [0.712-0.784]  0.993±0.001 [0.992-0.995]  0.978±0.008 [0.969-0.988]  0.971±0.012 [0.956-0.986]  0.500±0.195 [0.258-0.742]  0.812±0.065 [0.732-0.893]  0.894±0.008 [0.883-0.904]  0.909±0.006 [0.902-0.917]
MCC          0.686±0.034 [0.644-0.728]  0.150±0.029 [0.114-0.185]  0.750±0.007 [0.742-0.759]  0.659±0.027 [0.626-0.692]  0.212±0.081 [0.111-0.313]  0.224±0.081 [0.123-0.325]  0.224±0.081 [0.123-0.325]  0.529±0.020 [0.503-0.554]  0.427±0.021 [0.400-0.453]
