             NC             MCI            DE             ADD            nADD           ADD|DE         nADD|DE        macro-3ways    macro-4ways
-----------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
Accuracy     0.611+/-0.203  0.439+/-0.180  0.780+/-0.085  0.794+/-0.069  0.967+/-0.000  0.888+/-0.019  0.888+/-0.019  0.415+/-0.168  0.406+/-0.172
F-1          0.482+/-0.394  0.088+/-0.013  0.429+/-0.351  0.419+/-0.343  0.000+/-0.000  0.940+/-0.011  0.040+/-0.080  0.333+/-0.103  0.247+/-0.078
Sensitivity  0.433+/-0.354  0.637+/-0.131  0.353+/-0.290  0.360+/-0.295  0.000+/-0.000  0.985+/-0.029  0.036+/-0.073  0.474+/-0.056  0.357+/-0.043
Specificity  0.923+/-0.063  0.431+/-0.193  0.984+/-0.014  0.972+/-0.025  1.000+/-0.000  0.036+/-0.073  0.985+/-0.029  0.779+/-0.048  0.831+/-0.037
MCC          0.343+/-0.281  0.028+/-0.031  0.389+/-0.319  0.371+/-0.304  0.000+/-0.000  0.024+/-0.048  0.024+/-0.048  0.253+/-0.091  0.185+/-0.068
