             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.821±0.044 [0.803-0.840]  0.737±0.033 [0.723-0.751]  0.874±0.016 [0.868-0.881]  0.867±0.012 [0.862-0.872]  0.959±0.006 [0.956-0.962]  0.853±0.040 [0.836-0.870]  0.853±0.040 [0.836-0.870]  0.716±0.033 [0.702-0.730]  0.692±0.038 [0.676-0.708]
F-1          0.844±0.046 [0.825-0.864]  0.132±0.016 [0.125-0.139]  0.763±0.038 [0.746-0.779]  0.724±0.036 [0.709-0.739]  0.116±0.097 [0.075-0.157]  0.917±0.025 [0.907-0.928]  0.219±0.139 [0.160-0.278]  0.580±0.010 [0.576-0.584]  0.454±0.015 [0.448-0.461]
Sensitivity  0.774±0.077 [0.741-0.806]  0.496±0.095 [0.456-0.537]  0.631±0.053 [0.608-0.653]  0.607±0.055 [0.584-0.630]  0.100±0.083 [0.065-0.135]  0.921±0.061 [0.895-0.947]  0.255±0.188 [0.175-0.334]  0.634±0.024 [0.623-0.644]  0.494±0.013 [0.489-0.500]
Specificity  0.905±0.025 [0.894-0.916]  0.747±0.037 [0.731-0.763]  0.990±0.003 [0.989-0.992]  0.973±0.008 [0.969-0.976]  0.988±0.009 [0.984-0.992]  0.255±0.188 [0.175-0.334]  0.921±0.061 [0.895-0.947]  0.881±0.010 [0.877-0.885]  0.903±0.009 [0.899-0.907]
MCC          0.658±0.066 [0.630-0.686]  0.109±0.029 [0.096-0.121]  0.713±0.035 [0.698-0.728]  0.664±0.031 [0.650-0.677]  0.102±0.089 [0.064-0.140]  0.170±0.110 [0.123-0.217]  0.170±0.110 [0.123-0.217]  0.493±0.017 [0.486-0.501]  0.383±0.016 [0.377-0.390]
