             NC                         MCI                         DE                         ADD                        nADD                        ADD|DE                      nADD|DE                     macro-3ways                macro-4ways
-----------  -------------------------  --------------------------  -------------------------  -------------------------  --------------------------  --------------------------  --------------------------  -------------------------  -------------------------
Accuracy     0.656±0.007 [0.647-0.664]  0.870±0.024 [0.840-0.900]   0.682±0.003 [0.679-0.686]  0.712±0.003 [0.708-0.715]  0.965±0.003 [0.961-0.969]   0.715±0.307 [0.334-1.097]   0.715±0.307 [0.334-1.097]   0.604±0.014 [0.586-0.622]  0.601±0.012 [0.586-0.616]
F-1          0.767±0.006 [0.760-0.775]  0.066±0.041 [0.015-0.116]   0.154±0.088 [0.045-0.263]  0.153±0.083 [0.050-0.257]  0.017±0.035 [-0.026-0.061]  0.745±0.368 [0.289-1.201]   0.126±0.070 [0.040-0.212]   0.329±0.019 [0.305-0.353]  0.251±0.015 [0.232-0.270]
Sensitivity  0.892±0.013 [0.877-0.908]  0.126±0.095 [0.007-0.244]   0.095±0.057 [0.024-0.166]  0.095±0.054 [0.028-0.163]  0.009±0.018 [-0.013-0.032]  0.767±0.382 [0.293-1.241]   0.264±0.350 [-0.171-0.698]  0.371±0.016 [0.351-0.391]  0.281±0.012 [0.266-0.295]
Specificity  0.240±0.010 [0.229-0.252]  0.901±0.028 [0.866-0.937]   0.962±0.023 [0.934-0.991]  0.963±0.023 [0.935-0.992]  0.998±0.003 [0.994-1.002]   0.264±0.350 [-0.171-0.698]  0.767±0.382 [0.293-1.241]   0.701±0.004 [0.696-0.706]  0.776±0.003 [0.773-0.779]
MCC          0.177±0.017 [0.155-0.198]  0.013±0.045 [-0.042-0.069]  0.104±0.055 [0.036-0.172]  0.107±0.054 [0.040-0.174]  0.037±0.087 [-0.071-0.144]  0.026±0.100 [-0.098-0.150]  0.026±0.100 [-0.098-0.150]  0.098±0.008 [0.088-0.108]  0.083±0.021 [0.057-0.109]
