             NC                         MCI                        DE                         ADD                        nADD                        ADD|DE                      nADD|DE                     macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  --------------------------  --------------------------  --------------------------  -------------------------  -------------------------
Accuracy     0.879±0.022 [0.851-0.907]  0.808±0.042 [0.755-0.860]  0.896±0.014 [0.879-0.913]  0.892±0.011 [0.879-0.905]  0.967±0.001 [0.966-0.967]   0.889±0.006 [0.882-0.897]   0.889±0.006 [0.882-0.897]   0.791±0.037 [0.745-0.837]  0.773±0.035 [0.729-0.816]
F-1          0.899±0.021 [0.873-0.926]  0.185±0.014 [0.168-0.202]  0.811±0.031 [0.772-0.850]  0.791±0.028 [0.756-0.826]  0.017±0.033 [-0.025-0.058]  0.941±0.003 [0.937-0.945]   0.045±0.061 [-0.031-0.121]  0.632±0.019 [0.608-0.655]  0.473±0.008 [0.463-0.483]
Sensitivity  0.856±0.046 [0.799-0.913]  0.533±0.106 [0.401-0.665]  0.696±0.051 [0.632-0.759]  0.710±0.052 [0.645-0.775]  0.009±0.018 [-0.013-0.032]  0.988±0.007 [0.979-0.996]   0.027±0.036 [-0.018-0.072]  0.695±0.019 [0.671-0.719]  0.527±0.013 [0.511-0.543]
Specificity  0.919±0.020 [0.895-0.943]  0.819±0.048 [0.760-0.879]  0.991±0.005 [0.985-0.997]  0.966±0.008 [0.957-0.976]  0.999±0.001 [0.998-1.000]   0.027±0.036 [-0.018-0.072]  0.988±0.007 [0.979-0.996]   0.910±0.009 [0.899-0.921]  0.926±0.006 [0.919-0.933]
MCC          0.756±0.035 [0.713-0.800]  0.177±0.021 [0.151-0.204]  0.763±0.031 [0.725-0.801]  0.729±0.028 [0.695-0.764]  0.027±0.058 [-0.045-0.099]  0.026±0.082 [-0.076-0.127]  0.026±0.082 [-0.076-0.127]  0.566±0.020 [0.541-0.590]  0.423±0.008 [0.413-0.432]
