             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.747±0.011 [0.734-0.760]  0.743±0.011 [0.730-0.756]  0.811±0.005 [0.804-0.817]  0.811±0.006 [0.803-0.818]  0.939±0.012 [0.925-0.954]  0.757±0.064 [0.678-0.836]  0.757±0.064 [0.678-0.836]  0.650±0.008 [0.640-0.661]  0.620±0.012 [0.605-0.635]
F-1          0.777±0.013 [0.761-0.794]  0.116±0.020 [0.091-0.140]  0.669±0.013 [0.652-0.685]  0.624±0.017 [0.603-0.645]  0.104±0.024 [0.074-0.133]  0.852±0.044 [0.798-0.906]  0.259±0.046 [0.201-0.316]  0.521±0.006 [0.513-0.528]  0.405±0.010 [0.393-0.418]
Sensitivity  0.694±0.024 [0.664-0.725]  0.415±0.072 [0.326-0.504]  0.593±0.030 [0.556-0.631]  0.544±0.039 [0.496-0.593]  0.109±0.036 [0.064-0.154]  0.794±0.088 [0.685-0.902]  0.436±0.162 [0.236-0.637]  0.568±0.021 [0.542-0.593]  0.441±0.020 [0.416-0.465]
Specificity  0.840±0.018 [0.817-0.862]  0.757±0.010 [0.744-0.770]  0.914±0.015 [0.895-0.933]  0.919±0.019 [0.895-0.943]  0.968±0.013 [0.952-0.984]  0.436±0.162 [0.236-0.637]  0.794±0.088 [0.685-0.902]  0.837±0.002 [0.835-0.839]  0.871±0.003 [0.868-0.874]
MCC          0.514±0.012 [0.499-0.529]  0.078±0.033 [0.037-0.120]  0.549±0.013 [0.532-0.565]  0.513±0.016 [0.494-0.532]  0.077±0.019 [0.053-0.100]  0.170±0.041 [0.119-0.221]  0.170±0.041 [0.119-0.221]  0.380±0.012 [0.366-0.395]  0.296±0.015 [0.277-0.314]
