             NC                         MCI                        DE                         ADD                        nADD                        ADD|DE                      nADD|DE                     macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  --------------------------  --------------------------  --------------------------  -------------------------  -------------------------
Accuracy     0.795±0.179 [0.573-1.017]  0.700±0.185 [0.471-0.930]  0.855±0.017 [0.834-0.877]  0.848±0.013 [0.832-0.865]  0.964±0.003 [0.961-0.968]   0.888±0.011 [0.875-0.902]   0.888±0.011 [0.875-0.902]   0.675±0.175 [0.458-0.893]  0.654±0.176 [0.435-0.873]
F-1          0.770±0.270 [0.436-1.105]  0.161±0.043 [0.108-0.213]  0.715±0.046 [0.657-0.772]  0.678±0.043 [0.624-0.732]  0.026±0.052 [-0.038-0.090]  0.941±0.006 [0.933-0.948]   0.025±0.050 [-0.037-0.087]  0.548±0.091 [0.435-0.662]  0.409±0.073 [0.318-0.500]
Sensitivity  0.735±0.308 [0.353-1.118]  0.593±0.112 [0.453-0.732]  0.567±0.066 [0.486-0.649]  0.556±0.069 [0.471-0.642]  0.018±0.036 [-0.027-0.063]  0.988±0.016 [0.968-1.007]   0.018±0.036 [-0.027-0.063]  0.632±0.053 [0.566-0.698]  0.476±0.041 [0.425-0.526]
Specificity  0.900±0.050 [0.838-0.962]  0.705±0.197 [0.460-0.949]  0.992±0.006 [0.985-1.000]  0.967±0.010 [0.954-0.980]  0.997±0.004 [0.991-1.002]   0.018±0.036 [-0.027-0.063]  0.988±0.016 [0.968-1.007]   0.866±0.051 [0.802-0.930]  0.892±0.039 [0.844-0.941]
MCC          0.649±0.227 [0.367-0.931]  0.145±0.056 [0.076-0.214]  0.670±0.038 [0.622-0.718]  0.613±0.036 [0.569-0.658]  0.021±0.052 [-0.043-0.085]  0.002±0.038 [-0.046-0.049]  0.002±0.038 [-0.046-0.049]  0.488±0.086 [0.382-0.594]  0.357±0.068 [0.272-0.442]
