             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.808±0.013 [0.792-0.825]  0.753±0.013 [0.737-0.770]  0.877±0.014 [0.859-0.894]  0.854±0.012 [0.839-0.869]  0.945±0.005 [0.939-0.951]  0.800±0.026 [0.768-0.832]  0.800±0.026 [0.768-0.832]  0.719±0.016 [0.700-0.739]  0.681±0.014 [0.664-0.698]
F-1          0.835±0.012 [0.820-0.850]  0.129±0.020 [0.105-0.153]  0.777±0.028 [0.742-0.811]  0.701±0.026 [0.668-0.733]  0.176±0.057 [0.105-0.246]  0.883±0.017 [0.862-0.904]  0.295±0.054 [0.228-0.363]  0.580±0.014 [0.563-0.598]  0.460±0.022 [0.432-0.488]
Sensitivity  0.763±0.016 [0.744-0.783]  0.452±0.086 [0.345-0.558]  0.666±0.034 [0.624-0.708]  0.589±0.026 [0.556-0.621]  0.182±0.076 [0.087-0.276]  0.845±0.029 [0.809-0.880]  0.409±0.081 [0.308-0.510]  0.627±0.028 [0.592-0.662]  0.496±0.030 [0.459-0.534]
Specificity  0.888±0.019 [0.864-0.911]  0.766±0.016 [0.747-0.785]  0.977±0.008 [0.966-0.987]  0.963±0.008 [0.953-0.973]  0.971±0.006 [0.964-0.979]  0.409±0.081 [0.308-0.510]  0.845±0.029 [0.809-0.880]  0.877±0.009 [0.866-0.888]  0.897±0.006 [0.889-0.905]
MCC          0.627±0.026 [0.595-0.659]  0.100±0.034 [0.057-0.143]  0.714±0.034 [0.671-0.757]  0.629±0.033 [0.588-0.670]  0.149±0.057 [0.078-0.220]  0.200±0.065 [0.120-0.281]  0.200±0.065 [0.120-0.281]  0.480±0.023 [0.451-0.509]  0.376±0.028 [0.341-0.411]
