             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.836±0.027 [0.803-0.870]  0.743±0.034 [0.700-0.785]  0.885±0.016 [0.865-0.905]  0.876±0.008 [0.867-0.886]  0.960±0.006 [0.953-0.967]  0.869±0.026 [0.837-0.901]  0.869±0.026 [0.837-0.901]  0.732±0.034 [0.690-0.774]  0.708±0.029 [0.672-0.744]
F-1          0.858±0.027 [0.825-0.891]  0.136±0.011 [0.122-0.150]  0.787±0.038 [0.740-0.834]  0.751±0.022 [0.724-0.778]  0.108±0.070 [0.021-0.196]  0.928±0.016 [0.909-0.947]  0.204±0.089 [0.093-0.315]  0.594±0.019 [0.571-0.617]  0.463±0.024 [0.434-0.493]
Sensitivity  0.783±0.045 [0.727-0.838]  0.496±0.038 [0.449-0.543]  0.662±0.053 [0.597-0.728]  0.645±0.033 [0.603-0.686]  0.082±0.060 [0.007-0.157]  0.947±0.038 [0.901-0.994]  0.182±0.111 [0.044-0.320]  0.647±0.014 [0.630-0.664]  0.501±0.016 [0.482-0.521]
Specificity  0.931±0.004 [0.926-0.936]  0.753±0.037 [0.707-0.799]  0.992±0.002 [0.989-0.994]  0.971±0.004 [0.966-0.976]  0.990±0.007 [0.981-1.000]  0.182±0.111 [0.044-0.320]  0.947±0.038 [0.901-0.994]  0.892±0.011 [0.878-0.905]  0.911±0.007 [0.903-0.920]
MCC          0.688±0.042 [0.636-0.740]  0.114±0.014 [0.096-0.131]  0.739±0.036 [0.693-0.784]  0.688±0.020 [0.663-0.714]  0.107±0.065 [0.027-0.187]  0.165±0.079 [0.066-0.263]  0.165±0.079 [0.066-0.263]  0.513±0.023 [0.485-0.541]  0.399±0.021 [0.373-0.426]
