             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.823±0.040 [0.774-0.873]  0.732±0.044 [0.678-0.786]  0.891±0.006 [0.884-0.899]  0.868±0.007 [0.859-0.877]  0.951±0.007 [0.942-0.960]  0.813±0.037 [0.767-0.859]  0.813±0.037 [0.767-0.859]  0.723±0.041 [0.672-0.774]  0.687±0.043 [0.634-0.740]
F-1          0.843±0.041 [0.792-0.894]  0.148±0.023 [0.119-0.177]  0.802±0.013 [0.786-0.818]  0.728±0.019 [0.704-0.752]  0.234±0.045 [0.178-0.290]  0.891±0.025 [0.861-0.922]  0.291±0.065 [0.210-0.372]  0.598±0.020 [0.573-0.622]  0.488±0.021 [0.462-0.514]
Sensitivity  0.754±0.066 [0.672-0.837]  0.563±0.064 [0.484-0.642]  0.682±0.019 [0.659-0.705]  0.609±0.027 [0.576-0.643]  0.227±0.050 [0.165-0.289]  0.862±0.051 [0.799-0.926]  0.382±0.130 [0.220-0.544]  0.666±0.026 [0.634-0.699]  0.538±0.019 [0.515-0.562]
Specificity  0.944±0.009 [0.933-0.954]  0.739±0.046 [0.682-0.796]  0.991±0.001 [0.989-0.993]  0.974±0.002 [0.972-0.977]  0.975±0.008 [0.965-0.986]  0.382±0.130 [0.220-0.544]  0.862±0.051 [0.799-0.926]  0.891±0.013 [0.875-0.907]  0.908±0.010 [0.895-0.921]
MCC          0.674±0.058 [0.602-0.746]  0.135±0.035 [0.092-0.179]  0.752±0.013 [0.736-0.769]  0.668±0.019 [0.645-0.692]  0.212±0.050 [0.151-0.274]  0.203±0.076 [0.109-0.297]  0.203±0.076 [0.109-0.297]  0.521±0.027 [0.487-0.555]  0.423±0.026 [0.390-0.455]
