             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.787±0.037 [0.741-0.833]  0.710±0.031 [0.672-0.749]  0.888±0.010 [0.876-0.900]  0.866±0.010 [0.853-0.879]  0.942±0.010 [0.930-0.955]  0.800±0.041 [0.750-0.850]  0.800±0.041 [0.750-0.850]  0.693±0.030 [0.655-0.730]  0.653±0.033 [0.612-0.694]
F-1          0.807±0.041 [0.757-0.858]  0.136±0.021 [0.109-0.162]  0.797±0.022 [0.770-0.824]  0.723±0.032 [0.683-0.762]  0.171±0.036 [0.126-0.216]  0.881±0.027 [0.848-0.915]  0.337±0.028 [0.302-0.372]  0.580±0.014 [0.562-0.598]  0.459±0.017 [0.439-0.480]
Sensitivity  0.706±0.060 [0.631-0.781]  0.556±0.062 [0.479-0.632]  0.684±0.036 [0.639-0.728]  0.604±0.048 [0.545-0.663]  0.182±0.057 [0.110-0.253]  0.835±0.054 [0.768-0.902]  0.491±0.088 [0.381-0.600]  0.648±0.026 [0.616-0.681]  0.512±0.026 [0.480-0.544]
Specificity  0.930±0.008 [0.920-0.939]  0.717±0.032 [0.677-0.756]  0.985±0.003 [0.982-0.989]  0.973±0.005 [0.967-0.980]  0.968±0.012 [0.954-0.983]  0.491±0.088 [0.381-0.600]  0.835±0.054 [0.768-0.902]  0.877±0.010 [0.865-0.890]  0.897±0.009 [0.886-0.908]
MCC          0.614±0.051 [0.550-0.678]  0.119±0.035 [0.075-0.163]  0.743±0.022 [0.715-0.770]  0.663±0.027 [0.629-0.696]  0.146±0.039 [0.097-0.195]  0.256±0.039 [0.207-0.304]  0.256±0.039 [0.207-0.304]  0.492±0.021 [0.465-0.518]  0.385±0.024 [0.356-0.415]
