             NC                         MCI                        DE                         ADD                        nADD                        ADD|DE                      nADD|DE                     macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  --------------------------  --------------------------  --------------------------  -------------------------  -------------------------
Accuracy     0.844±0.020 [0.820-0.869]  0.790±0.028 [0.756-0.824]  0.888±0.009 [0.877-0.898]  0.881±0.006 [0.873-0.889]  0.962±0.006 [0.954-0.969]   0.864±0.029 [0.828-0.901]   0.864±0.029 [0.828-0.901]   0.761±0.025 [0.730-0.792]  0.738±0.026 [0.707-0.770]
F-1          0.871±0.019 [0.847-0.895]  0.109±0.027 [0.076-0.143]  0.795±0.019 [0.771-0.819]  0.764±0.017 [0.743-0.785]  0.109±0.108 [-0.025-0.243]  0.924±0.019 [0.900-0.948]   0.227±0.141 [0.052-0.402]   0.592±0.007 [0.583-0.601]  0.464±0.021 [0.437-0.490]
Sensitivity  0.831±0.038 [0.784-0.878]  0.326±0.108 [0.191-0.460]  0.677±0.031 [0.639-0.716]  0.666±0.028 [0.632-0.701]  0.091±0.095 [-0.027-0.209]  0.934±0.056 [0.864-1.003]   0.255±0.208 [-0.004-0.513]  0.611±0.020 [0.586-0.637]  0.479±0.021 [0.453-0.504]
Specificity  0.868±0.017 [0.847-0.889]  0.809±0.032 [0.769-0.849]  0.988±0.002 [0.985-0.991]  0.969±0.005 [0.963-0.974]  0.991±0.009 [0.980-1.003]   0.255±0.208 [-0.004-0.513]  0.934±0.056 [0.864-1.003]   0.888±0.006 [0.881-0.895]  0.909±0.004 [0.904-0.915]
MCC          0.682±0.031 [0.643-0.720]  0.066±0.040 [0.016-0.116]  0.743±0.019 [0.719-0.767]  0.701±0.017 [0.680-0.722]  0.106±0.100 [-0.018-0.231]  0.182±0.114 [0.041-0.323]   0.182±0.114 [0.041-0.323]   0.497±0.013 [0.481-0.512]  0.389±0.021 [0.362-0.415]
