             NC                         MCI                         DE                         ADD                        nADD                        ADD|DE                      nADD|DE                     macro-3ways                macro-4ways
-----------  -------------------------  --------------------------  -------------------------  -------------------------  --------------------------  --------------------------  --------------------------  -------------------------  -------------------------
Accuracy     0.787±0.013 [0.771-0.804]  0.859±0.033 [0.818-0.900]   0.800±0.007 [0.791-0.810]  0.813±0.008 [0.803-0.822]  0.963±0.005 [0.956-0.969]   0.869±0.037 [0.822-0.915]   0.869±0.037 [0.822-0.915]   0.723±0.026 [0.692-0.755]  0.711±0.026 [0.679-0.743]
F-1          0.839±0.013 [0.823-0.855]  0.071±0.025 [0.040-0.102]   0.622±0.020 [0.596-0.647]  0.617±0.023 [0.588-0.645]  0.053±0.046 [-0.004-0.110]  0.928±0.023 [0.898-0.957]   0.163±0.137 [-0.007-0.333]  0.511±0.013 [0.494-0.527]  0.395±0.016 [0.375-0.415]
Sensitivity  0.870±0.031 [0.831-0.908]  0.133±0.065 [0.053-0.214]   0.509±0.025 [0.477-0.540]  0.520±0.030 [0.482-0.558]  0.036±0.034 [-0.006-0.079]  0.948±0.059 [0.875-1.022]   0.173±0.166 [-0.034-0.379]  0.504±0.018 [0.482-0.526]  0.390±0.015 [0.371-0.409]
Specificity  0.643±0.026 [0.611-0.675]  0.890±0.036 [0.845-0.935]   0.939±0.004 [0.935-0.944]  0.932±0.006 [0.924-0.940]  0.994±0.006 [0.986-1.002]   0.173±0.166 [-0.034-0.379]  0.948±0.059 [0.875-1.022]   0.824±0.005 [0.818-0.831]  0.865±0.004 [0.860-0.869]
MCC          0.532±0.026 [0.500-0.564]  0.016±0.033 [-0.025-0.056]  0.519±0.020 [0.494-0.543]  0.514±0.023 [0.486-0.543]  0.056±0.048 [-0.003-0.115]  0.132±0.112 [-0.007-0.271]  0.132±0.112 [-0.007-0.271]  0.355±0.020 [0.331-0.380]  0.279±0.023 [0.251-0.308]
