             NC                         MCI                         DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  --------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.745±0.015 [0.726-0.764]  0.757±0.028 [0.722-0.792]   0.802±0.009 [0.790-0.813]  0.811±0.007 [0.803-0.820]  0.942±0.014 [0.925-0.960]  0.790±0.058 [0.717-0.862]  0.790±0.058 [0.717-0.862]  0.652±0.017 [0.630-0.674]  0.628±0.017 [0.606-0.650]
F-1          0.782±0.017 [0.761-0.804]  0.084±0.017 [0.064-0.105]   0.647±0.020 [0.622-0.672]  0.622±0.014 [0.605-0.639]  0.095±0.040 [0.046-0.145]  0.874±0.039 [0.826-0.922]  0.319±0.042 [0.267-0.371]  0.505±0.007 [0.496-0.513]  0.396±0.012 [0.382-0.410]
Sensitivity  0.721±0.032 [0.681-0.760]  0.274±0.050 [0.212-0.336]   0.564±0.030 [0.526-0.602]  0.535±0.015 [0.516-0.554]  0.091±0.041 [0.040-0.141]  0.825±0.078 [0.728-0.921]  0.482±0.145 [0.301-0.662]  0.520±0.016 [0.500-0.539]  0.405±0.014 [0.388-0.422]
Specificity  0.788±0.021 [0.763-0.814]  0.777±0.030 [0.740-0.814]   0.915±0.014 [0.898-0.932]  0.924±0.008 [0.914-0.935]  0.971±0.015 [0.953-0.990]  0.482±0.145 [0.301-0.662]  0.825±0.078 [0.728-0.921]  0.827±0.002 [0.824-0.830]  0.865±0.002 [0.862-0.868]
MCC          0.492±0.022 [0.465-0.519]  0.025±0.026 [-0.008-0.057]  0.525±0.024 [0.496-0.555]  0.513±0.019 [0.489-0.536]  0.073±0.043 [0.019-0.127]  0.246±0.060 [0.172-0.320]  0.246±0.060 [0.172-0.320]  0.347±0.007 [0.338-0.356]  0.276±0.012 [0.260-0.291]
