             NC                         MCI                        DE                         ADD                        nADD                       ADD|DE                     nADD|DE                    macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------  -------------------------
Accuracy     0.825±0.006 [0.818-0.833]  0.779±0.011 [0.765-0.793]  0.897±0.004 [0.893-0.902]  0.876±0.007 [0.867-0.885]  0.949±0.006 [0.942-0.956]  0.797±0.029 [0.761-0.833]  0.797±0.029 [0.761-0.833]  0.751±0.010 [0.739-0.763]  0.715±0.012 [0.700-0.730]
F-1          0.852±0.006 [0.845-0.859]  0.118±0.015 [0.099-0.136]  0.820±0.008 [0.811-0.830]  0.755±0.017 [0.734-0.777]  0.206±0.066 [0.125-0.288]  0.881±0.019 [0.857-0.905]  0.310±0.042 [0.258-0.363]  0.597±0.007 [0.587-0.606]  0.483±0.023 [0.454-0.511]
Sensitivity  0.788±0.008 [0.778-0.799]  0.363±0.043 [0.309-0.417]  0.726±0.014 [0.708-0.743]  0.661±0.024 [0.632-0.691]  0.200±0.068 [0.116-0.284]  0.837±0.037 [0.792-0.883]  0.445±0.083 [0.342-0.549]  0.626±0.016 [0.606-0.645]  0.503±0.029 [0.467-0.539]
Specificity  0.890±0.006 [0.883-0.897]  0.797±0.011 [0.782-0.811]  0.979±0.003 [0.975-0.983]  0.964±0.004 [0.959-0.968]  0.975±0.005 [0.969-0.981]  0.445±0.083 [0.342-0.549]  0.837±0.037 [0.792-0.883]  0.889±0.004 [0.884-0.893]  0.906±0.004 [0.902-0.911]
MCC          0.655±0.011 [0.641-0.668]  0.077±0.023 [0.049-0.106]  0.763±0.008 [0.753-0.773]  0.687±0.020 [0.663-0.711]  0.181±0.068 [0.097-0.265]  0.220±0.052 [0.155-0.284]  0.220±0.052 [0.155-0.284]  0.498±0.011 [0.485-0.512]  0.400±0.027 [0.367-0.433]
