             NC                         MCI                         DE                         ADD                        nADD                         ADD|DE                       nADD|DE                      macro-3ways                macro-4ways
-----------  -------------------------  --------------------------  -------------------------  -------------------------  ---------------------------  ---------------------------  ---------------------------  -------------------------  -------------------------
Accuracy     0.881±0.011 [0.868-0.895]  0.864±0.025 [0.832-0.895]   0.891±0.005 [0.884-0.897]  0.883±0.004 [0.878-0.889]  0.965±0.002 [0.963-0.968]    0.876±0.023 [0.847-0.905]    0.876±0.023 [0.847-0.905]    0.818±0.017 [0.797-0.839]  0.797±0.016 [0.777-0.816]
F-1          0.908±0.010 [0.895-0.921]  0.097±0.033 [0.055-0.138]   0.803±0.010 [0.790-0.815]  0.775±0.009 [0.764-0.786]  0.000±0.000 [0.000-0.000]    0.934±0.013 [0.917-0.950]    0.029±0.035 [-0.015-0.072]   0.602±0.009 [0.592-0.613]  0.445±0.006 [0.438-0.452]
Sensitivity  0.924±0.033 [0.882-0.965]  0.185±0.088 [0.076-0.294]   0.688±0.014 [0.671-0.706]  0.694±0.015 [0.675-0.713]  0.000±0.000 [0.000-0.000]    0.974±0.026 [0.942-1.006]    0.018±0.022 [-0.009-0.046]   0.599±0.022 [0.572-0.626]  0.451±0.016 [0.430-0.471]
Specificity  0.807±0.036 [0.762-0.851]  0.892±0.029 [0.857-0.928]   0.987±0.006 [0.980-0.994]  0.960±0.006 [0.953-0.968]  0.998±0.002 [0.996-1.001]    0.018±0.022 [-0.009-0.046]   0.974±0.026 [0.942-1.006]    0.895±0.003 [0.892-0.899]  0.914±0.002 [0.912-0.917]
MCC          0.743±0.021 [0.716-0.769]  0.048±0.042 [-0.004-0.099]  0.750±0.013 [0.733-0.766]  0.706±0.012 [0.692-0.721]  -0.005±0.005 [-0.011-0.001]  -0.008±0.047 [-0.066-0.051]  -0.008±0.047 [-0.066-0.051]  0.513±0.010 [0.501-0.526]  0.373±0.005 [0.366-0.380]
