             NC                         MCI                        DE                         ADD                        nADD                        ADD|DE                      nADD|DE                     macro-3ways                macro-4ways
-----------  -------------------------  -------------------------  -------------------------  -------------------------  --------------------------  --------------------------  --------------------------  -------------------------  -------------------------
Accuracy     0.819±0.034 [0.777-0.861]  0.731±0.043 [0.678-0.783]  0.891±0.017 [0.869-0.913]  0.880±0.007 [0.871-0.888]  0.960±0.007 [0.951-0.969]   0.870±0.025 [0.839-0.901]   0.870±0.025 [0.839-0.901]   0.720±0.039 [0.672-0.769]  0.695±0.038 [0.647-0.742]
F-1          0.840±0.036 [0.795-0.885]  0.140±0.013 [0.124-0.156]  0.800±0.039 [0.751-0.849]  0.762±0.018 [0.740-0.785]  0.059±0.072 [-0.031-0.148]  0.929±0.015 [0.910-0.948]   0.148±0.147 [-0.035-0.331]  0.593±0.020 [0.568-0.618]  0.450±0.024 [0.421-0.480]
Sensitivity  0.752±0.059 [0.679-0.825]  0.533±0.038 [0.486-0.580]  0.682±0.058 [0.610-0.754]  0.666±0.030 [0.629-0.704]  0.045±0.057 [-0.026-0.117]  0.952±0.039 [0.904-1.001]   0.145±0.148 [-0.038-0.329]  0.656±0.015 [0.636-0.675]  0.499±0.015 [0.481-0.518]
Specificity  0.937±0.011 [0.923-0.951]  0.739±0.046 [0.682-0.796]  0.991±0.002 [0.988-0.993]  0.967±0.006 [0.959-0.975]  0.991±0.008 [0.981-1.002]   0.145±0.148 [-0.038-0.329]  0.952±0.039 [0.904-1.001]   0.889±0.011 [0.875-0.903]  0.909±0.008 [0.899-0.919]
MCC          0.665±0.047 [0.606-0.724]  0.122±0.016 [0.102-0.142]  0.751±0.039 [0.703-0.800]  0.698±0.018 [0.676-0.720]  0.051±0.075 [-0.042-0.145]  0.092±0.128 [-0.066-0.251]  0.092±0.128 [-0.066-0.251]  0.513±0.022 [0.485-0.541]  0.384±0.026 [0.352-0.417]
